[     493ms] [INFO] %cDownload the React DevTools for a better development experience: https://reactjs.org/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/react-dom-DZQ9hRBr.js?v=0234295a:17230
[     577ms] [WARNING] ⚠️ React Router Future Flag Warning: React Router will begin wrapping state updates in `React.startTransition` in v7. You can use the `v7_startTransition` future flag to opt-in early. For more information, see https://reactrouter.com/v6/upgrading/future#v7_starttransition. @ http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=0234295a:3613
[     578ms] [WARNING] ⚠️ React Router Future Flag Warning: Relative route resolution within Splat routes is changing in v7. You can use the `v7_relativeSplatPath` future flag to opt-in early. For more information, see https://reactrouter.com/v6/upgrading/future#v7_relativesplatpath. @ http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=0234295a:3613
[  130803ms] [INFO] %cDownload the React DevTools for a better development experience: https://reactjs.org/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/react-dom-DZQ9hRBr.js?v=0234295a:17230
[  130844ms] [WARNING] ⚠️ React Router Future Flag Warning: React Router will begin wrapping state updates in `React.startTransition` in v7. You can use the `v7_startTransition` future flag to opt-in early. For more information, see https://reactrouter.com/v6/upgrading/future#v7_starttransition. @ http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=0234295a:3613
[  130844ms] [WARNING] ⚠️ React Router Future Flag Warning: Relative route resolution within Splat routes is changing in v7. You can use the `v7_relativeSplatPath` future flag to opt-in early. For more information, see https://reactrouter.com/v6/upgrading/future#v7_relativesplatpath. @ http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=0234295a:3613
[  247870ms] [WARNING] You are trying to animate backgroundColor from "rgba(0, 0, 0, 0)" to "transparent". rgba(0, 0, 0, 0) is not an animatable value - to enable this animation set rgba(0, 0, 0, 0) to a value animatable to transparent via the `style` property. @ http://localhost:5173/node_modules/.vite/deps/framer-motion.js?v=0234295a:418
[  247871ms] [WARNING] You are trying to animate backgroundColor from "rgba(0, 0, 0, 0)" to "transparent". rgba(0, 0, 0, 0) is not an animatable value - to enable this animation set rgba(0, 0, 0, 0) to a value animatable to transparent via the `style` property. @ http://localhost:5173/node_modules/.vite/deps/framer-motion.js?v=0234295a:418
[  247871ms] [WARNING] You are trying to animate backgroundColor from "rgba(0, 0, 0, 0)" to "transparent". rgba(0, 0, 0, 0) is not an animatable value - to enable this animation set rgba(0, 0, 0, 0) to a value animatable to transparent via the `style` property. @ http://localhost:5173/node_modules/.vite/deps/framer-motion.js?v=0234295a:418
[  247872ms] [WARNING] You are trying to animate backgroundColor from "rgba(0, 0, 0, 0)" to "transparent". rgba(0, 0, 0, 0) is not an animatable value - to enable this animation set rgba(0, 0, 0, 0) to a value animatable to transparent via the `style` property. @ http://localhost:5173/node_modules/.vite/deps/framer-motion.js?v=0234295a:418
[  247874ms] [WARNING] Invalid keyframe value for property filter: blur(-0.11564px) @ http://localhost:5173/node_modules/.vite/deps/framer-motion.js?v=0234295a:4656
[  247874ms] [WARNING] Invalid keyframe value for property filter: blur(-0.28399px) @ http://localhost:5173/node_modules/.vite/deps/framer-motion.js?v=0234295a:4656
[  247874ms] [WARNING] Invalid keyframe value for property filter: blur(-0.42811px) @ http://localhost:5173/node_modules/.vite/deps/framer-motion.js?v=0234295a:4656
[  247874ms] [WARNING] Invalid keyframe value for property filter: blur(-0.54982px) @ http://localhost:5173/node_modules/.vite/deps/framer-motion.js?v=0234295a:4656
[  247875ms] [WARNING] Invalid keyframe value for property filter: blur(-0.65089px) @ http://localhost:5173/node_modules/.vite/deps/framer-motion.js?v=0234295a:4656
[  247875ms] [WARNING] Invalid keyframe value for property filter: blur(-0.73308px) @ http://localhost:5173/node_modules/.vite/deps/framer-motion.js?v=0234295a:4656
[  247875ms] [WARNING] Invalid keyframe value for property filter: blur(-0.79806px) @ http://localhost:5173/node_modules/.vite/deps/framer-motion.js?v=0234295a:4656
[  247875ms] [WARNING] Invalid keyframe value for property filter: blur(-0.84747px) @ http://localhost:5173/node_modules/.vite/deps/framer-motion.js?v=0234295a:4656
[  247875ms] [WARNING] Invalid keyframe value for property filter: blur(-0.88286px) @ http://localhost:5173/node_modules/.vite/deps/framer-motion.js?v=0234295a:4656
[  247875ms] [WARNING] Invalid keyframe value for property filter: blur(-0.90572px) @ http://localhost:5173/node_modules/.vite/deps/framer-motion.js?v=0234295a:4656
[  247876ms] [WARNING] Invalid keyframe value for property filter: blur(-0.91745px) @ http://localhost:5173/node_modules/.vite/deps/framer-motion.js?v=0234295a:4656
[  247876ms] [WARNING] Invalid keyframe value for property filter: blur(-0.91938px) @ http://localhost:5173/node_modules/.vite/deps/framer-motion.js?v=0234295a:4656
